Gut Microbiota	DOID
Eubacterium ramulus	Ulcerative colitis
Phascolarctobacterium succinatutens	Ulcerative colitis
Dorea formicigenerans	Ulcerative colitis
Barnesiella intestinihominis	Ulcerative colitis
Parabacteroides goldsteinii	Ulcerative colitis
Anaerostipes hadrus	Ulcerative colitis
Bacteroides cellulosilyticus	Ulcerative colitis
Eubacterium ventriosum	Ulcerative colitis
Bifidobacterium breve	Ulcerative colitis
Alistipes sp.	Ulcerative colitis
Coprococcus eutactus	Ulcerative colitis
Coprococcus catus	Ulcerative colitis
Lachnospiraceae bacterium 3_1_46FAA	Ulcerative colitis
Ruminococcaceae bacterium D16	Ulcerative colitis
Adlercreutzia equolifaciens	Ulcerative colitis
Lachnospiraceae bacterium 5_1_63FAA	Ulcerative colitis
Hungatella hathewayi	Ulcerative colitis
Gordonibacter pamelaeae	Ulcerative colitis
Tyzzerella nexilis	Ulcerative colitis
Lachnospiraceae bacterium 7_1_58FAA	Ulcerative colitis
Anaerotruncus colihominis	Ulcerative colitis
Holdemania filiformis	Ulcerative colitis
Bacteroides salyersiae	Ulcerative colitis
Lachnospiraceae bacterium 3_1_57FAA_CT1	Ulcerative colitis
Flavonifractor plautii	Ulcerative colitis
Alistipes indistinctus	Ulcerative colitis
Alistipes senegalensis	Ulcerative colitis
Oxalobacter formigenes	Ulcerative colitis
unclassified Peptostreptococcaceae (miscellaneous)	Ulcerative colitis
Bilophila wadsworthia	Ulcerative colitis
Streptococcus infantis	Ulcerative colitis
Gemella sanguinis	Ulcerative colitis
Streptococcus gordonii	Ulcerative colitis
Gemella morbillorum	Ulcerative colitis
Clostridium clostridioforme	Ulcerative colitis
Proteus mirabilis	Ulcerative colitis
Alloscardovia omnicolens	Ulcerative colitis
Lactobacillus plantarum	Ulcerative colitis
Solobacterium moorei	Ulcerative colitis
Clostridium symbiosum	Ulcerative colitis
Bacteroides sp.	Ulcerative colitis
Blautia producta	Ulcerative colitis
Veillonella parvula	Ulcerative colitis
Bacteroides thetaiotaomicron	Ulcerative colitis
Veillonella atypica	Ulcerative colitis
Ruminococcus callidus	Ulcerative colitis
Butyrivibrio crossotus	Ulcerative colitis
Clostridium sp.	Ulcerative colitis
Enterococcus faecium	Ulcerative colitis
Paraprevotella xylaniphila	Ulcerative colitis
Bifidobacterium dentium	Ulcerative colitis
Peptostreptococcus stomatis	Ulcerative colitis
Clostridium perfringens	Ulcerative colitis
Klebsiella pneumoniae	Ulcerative colitis
Bacteroides coprocola	Ulcerative colitis
Roseburia inulinivorans	Ulcerative colitis
Roseburia intestinalis	Ulcerative colitis
Bacteroides xylanisolvens	Ulcerative colitis
Eubacterium sp.	Ulcerative colitis
Haemophilus parainfluenzae	Ulcerative colitis
Parabacteroides distasonis	Ulcerative colitis
Bacteroides dorei	Ulcerative colitis
Ruminococcus gnavus	Ulcerative colitis
Bacteroides uniformis	Ulcerative colitis
Bacteroides stercoris	Autism
Prevotella copri	Autism
Bacteroides dorei	Autism
Bacteroides plebeius	Autism
Bifidobacterium breve	Autism
Bacteroides caccae	Autism
Eubacterium rectale	Autism
Bacteroides eggerthii	Autism
Bacteroides massiliensis	Autism
Bacteroides coprocola	Autism
Ruminococcus lactaris	Autism
Parabacteroides merdae	Autism
Veillonella parvula	Autism
Bacteroides finegoldii	Autism
Bacteroides sp.	Autism
Escherichia coli	Autism
Dialister succinatiphilus	Autism
Sutterella wadsworthensis	Autism
Bacteroides coprophilus	Autism
Lachnospiraceae bacterium 5_1_63FAA	Autism
Phascolarctobacterium succinatutens	Autism
Megamonas rupellensis	Autism
Bacteroides salyersiae	Autism
Streptococcus thermophilus	Autism
Klebsiella pneumoniae	Autism
Paraprevotella clara	Autism
Eubacterium ventriosum	Autism
Coprobacter fastidiosus	Autism
Odoribacter laneus	Autism
Ruminococcus callidus	Autism
Megamonas hypermegale	Autism
Desulfovibrio piger	Autism
Paraprevotella xylaniphila	Autism
Streptococcus sanguinis	Autism
Collinsella intestinalis	Autism
Bifidobacterium dentium	Autism
Citrobacter freundii	Autism
Adlercreutzia equolifaciens	Autism
Coprococcus catus	Autism
Enterobacter cloacae	Autism
Lachnospiraceae bacterium 5_1_57FAA	Autism
Holdemania filiformis	Autism
Solobacterium moorei	Autism
Bacteroides nordii	Autism
Clostridium leptum	Autism
Prevotella buccae	Autism
Hungatella hathewayi	Autism
Clostridium symbiosum	Autism
Subdoligranulum sp.	Autism
Bacteroides cellulosilyticus	Autism
Bacteroides intestinalis	Autism
Parabacteroides distasonis	Autism
Candidatus Alistipes marseilloanorexicus AP11	Autism
Bacteroides faecis	Autism
Bacteroides clarus	Autism
Clostridium bolteae	Autism
Dorea formicigenerans	Autism
Alistipes onderdonkii	Autism
Alistipes putredinis	Autism
Bacteroides fragilis	Autism
Akkermansia muciniphila	Autism
Bacteroides thetaiotaomicron	Autism
Dialister invisus	Autism
Bacteroides eggerthii	Liver Cirrhosis
Bacteroides massiliensis	Liver Cirrhosis
Alistipes putredinis	Liver Cirrhosis
Bacteroides plebeius	Liver Cirrhosis
Eubacterium eligens	Liver Cirrhosis
Faecalibacterium prausnitzii	Liver Cirrhosis
Bacteroides uniformis	Liver Cirrhosis
Eubacterium rectale	Liver Cirrhosis
Bacteroides dorei	Liver Cirrhosis
Roseburia inulinivorans	Liver Cirrhosis
Ruminococcus bromii	Liver Cirrhosis
Barnesiella intestinihominis	Liver Cirrhosis
Eubacterium siraeum	Liver Cirrhosis
Roseburia intestinalis	Liver Cirrhosis
Bacteroides finegoldii	Liver Cirrhosis
Bacteroides intestinalis	Liver Cirrhosis
Lachnospiraceae bacterium 1_1_57FAA	Liver Cirrhosis
Eubacterium ventriosum	Liver Cirrhosis
Alistipes shahii	Liver Cirrhosis
Bacteroides cellulosilyticus	Liver Cirrhosis
Odoribacter splanchnicus	Liver Cirrhosis
Roseburia hominis	Liver Cirrhosis
Eubacterium hallii	Liver Cirrhosis
Bacteroides sp.	Liver Cirrhosis
Bacteroides xylanisolvens	Liver Cirrhosis
Alistipes obesi	Liver Cirrhosis
Bifidobacterium adolescentis	Liver Cirrhosis
Megamonas hypermegale	Liver Cirrhosis
Bacteroides salyersiae	Liver Cirrhosis
Ruminococcus lactaris	Liver Cirrhosis
Paraprevotella clara	Liver Cirrhosis
Holdemanella biformis	Liver Cirrhosis
Alistipes onderdonkii	Liver Cirrhosis
Alistipes indistinctus	Liver Cirrhosis
Coprococcus comes	Liver Cirrhosis
